cat,IPCMLULUCF
clss,TOTAL
code,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018
datatype,CountryYearMatrix
descr,Result of CH4+N2O_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018+CO2_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018 - regarding information just missing in one of the tables as zero
ent,KYOTOGHGAR4
family,emi
gwp,AR4
name_category,LULUCF
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,CRF2018
subsource,Summary1.As2; Table10s2; Table10s3; Table10s4; Table4
tablekind,usr
tablename,KYOTOGHGAR4AR4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LTU,-5.0617,-5.1034,-4.7508,-5.7314,-5.1884,-3.9336,1.2768,0.19088,-7.1626,-6.2929,-8.5579,-6.4898,-5.4855,-5.0760000000000005,-4.4089,-3.7303,-1.9927,-3.8524,-4.4486,-5.6513,-8.982000000000001,-8.8091,-8.2471,-7.5136,-6.2717,-6.1439,-8.4447,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143,-7.773157142857143
LUX,0.048335,-0.22891,-0.55808,-0.65315,-0.46396000000000004,-0.56704,-0.60746,-0.69019,-0.57462,-0.67233,-0.70201,-0.7137100000000001,-0.7151,-0.67774,-0.6814899999999999,-0.6359100000000001,-0.55384,-0.47393,-0.49062,-0.4679,-0.15317,-0.27475,-0.36075999999999997,-0.5362899999999999,-0.45692,-0.40662,-0.49105,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857,-0.3827942857142857
LVA,-10.6967,-11.1276,-12.3536,-11.4966,-14.4221,-13.350999999999999,-13.6647,-11.831,-10.8663,-7.3068,-9.6406,-10.5347,-9.0195,-8.4164,-4.6274,-4.2296,-5.3507,-5.371,-5.9383,-3.3497,-1.3569,-1.4909,-3.6736,-3.0176,1.2828,0.7025100000000001,-0.9252600000000001,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714,-1.2112785714285714
MCO,1.5774000000000001e-06,-2.6892e-06,-8.2502e-06,-1.281e-05,-1.8909e-05,-2.3193000000000003e-05,-2.5656e-05,-2.8189e-05,-3.0172e-05,-3.3035e-05,-3.5093000000000004e-05,-3.8330999999999996e-05,-2.9766e-05,-3.1058e-05,-1.4229e-05,-4.3632e-05,-4.7621000000000004e-05,-5.3944e-05,-5.5353000000000003e-05,-6.185e-05,-5.033e-05,-4.246e-05,-3.5211e-05,-3.337e-05,-2.6384e-05,6.8098e-05,-5.699700000000001e-06,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05,-1.7908100000000002e-05
MLT,0.0029624000000000004,0.0047501999999999996,0.0043558,0.0032732,0.003679,0.003071,0.0030036999999999998,0.0029305,0.0025468000000000005,0.0019195999999999998,0.0031509,0.0021051,0.0012642,0.0013871999999999999,0.001535,0.0017081,0.0018789000000000002,0.0020137,0.0021100000000000003,0.0022459,0.0019979,0.0022331,0.0024683000000000005,0.0027052,0.0029404,0.0031756,0.0034108000000000003,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429,0.002704471428571429
NLD,6.0537,6.178,6.1858,6.2931,6.3472,6.1941,6.1824,6.1337,6.1696,6.1449,6.0654,6.1142,6.1148,6.2676,6.047999999999999,5.9628,5.9517,5.9756,5.8796,6.1238,6.1308,6.2085,6.22,6.5853,6.5885,6.6575,6.6803,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387,6.4387
NOR,-10.3644,-12.6479,-12.8836,-13.2085,-13.501,-14.9354,-16.3382,-16.2327,-19.2966,-21.831,-24.2088,-26.0983,-26.9891,-28.4762,-27.6399,-24.8389,-27.8731,-26.4057,-27.2584,-30.2549,-26.4355,-27.9881,-24.4898,-25.8287,-24.5596,-23.7688,-24.3559,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568,-25.346628571428568
NZL,-29.5395,-32.4008,-32.6884,-33.2007,-32.7089,-31.1006,-30.4081,-31.0663,-31.3476,-33.0991,-32.0899,-31.5585,-28.8097,-29.3793,-29.1243,-27.7271,-25.7299,-24.0617,-32.503,-30.4224,-31.0672,-26.6629,-25.8214,-24.8576,-24.8732,-24.8611,-22.7737,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453,-25.8453
POL,-27.6036,-20.0677,1.2421,-4.2465,-5.2081,-15.8462,-34.2352,-34.0496,-40.0933,-36.431,-32.9091,-24.1976,-33.8756,-36.7162,-47.8737,-46.9271,-40.2954,-34.1938,-33.631,-31.487,-30.3953,-37.2072,-36.6317,-38.7467,-30.1467,-27.2292,-27.9518,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428,-32.61551428571428
PRT,1.155,1.0912,-3.2316,-4.3307,-5.0917,-4.6544,-8.0731,-8.9784,-7.1603,-8.4493,-5.6784,-8.6197,-8.1346,2.6159,-7.1759,1.5198,-8.2474,-12.1336,-13.6279,-13.4945,-10.9104,-11.0468,-8.5706,-7.9283,-9.6588,-8.4653,-5.3941,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428,-8.853471428571428
ROU,-20.5907,-20.5874,-21.5647,-22.9308,-22.1737,-21.6457,-20.546999999999997,-20.993000000000002,-23.3726,-22.809,-22.8586,-23.8009,-21.6102,-21.9906,-21.7341,-22.8218,-22.2636,-21.4516,-21.8987,-21.8138,-23.0122,-23.4976,-25.2317,-25.8232,-25.4848,-23.3514,-24.2923,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286,-24.38474285714286
RUS,158.808,188.8144,84.1298,7.3846,-71.29,-119.4139,-198.5123,-300.2941,-308.1582,-352.2208,-401.4896,-492.2302,-526.2689,-527.0987,-508.6541,-496.2585,-495.6792,-523.8755,-578.2204,-623.0786,-629.5188,-648.4707,-614.8773,-610.8609,-651.9653,-603.0485,-634.4544,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143,-627.5994142857143
SVK,-9.5456,-10.2596,-10.8818,-10.7113,-10.2532,-9.798,-9.7388,-9.6408,-10.5924,-9.8653,-9.9533,-9.1882,-9.7436,-9.347000000000001,-9.3772,-5.9237,-8.7438,-8.336,-7.3594,-7.1198,-6.3393,-6.6277,-7.566,-8.2202,-6.2573,-6.7383,-6.8611,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429,-6.944271428571429
SVN,-4.2098,-3.528,-3.5597,-3.5801,-3.7944,-3.926,-4.3632,-4.3847,-4.5458,-4.6168,-4.7456,-5.8412,-6.0096,-5.7954,-5.9371,-5.9462,-5.9053,-6.269,-5.4361,-5.3769,-5.3174,-5.2932,-5.2885,-4.7858,-4.9195,-4.9783,-4.9898,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714,-5.081785714285714
SWE,-35.9256,-35.2184,-35.2332,-30.1836,-34.2125,-32.5004,-39.8134,-37.3038,-39.2303,-36.7676,-37.9833,-43.1437,-40.9027,-37.5276,-34.7651,-32.9635,-37.1652,-39.5085,-39.3247,-40.461999999999996,-44.6411,-37.4372,-43.0641,-38.2715,-40.294000000000004,-44.8651,-42.9693,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005,-41.648900000000005
TUR,-28.9227,-30.5744,-22.9565,-29.8785,-31.5657,-28.9067,-29.3472,-29.9143,-33.3406,-32.5796,-34.7397,-39.0899,-35.9637,-41.7226,-40.7997,-42.6528,-45.547,-43.9111,-40.4924,-44.0066,-45.9566,-48.0925,-49.3032,-57.1581,-58.1521,-63.6689,-68.0782,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004,-55.772800000000004
UKR,-57.9704,-62.597,-61.2116,-53.1443,-58.0415,-52.8386,-47.7949,-44.3251,-50.993,-51.7809,-45.3898,-40.3632,-39.0543,-46.9468,-37.5465,-35.9126,-40.332,-42.5615,-28.3222,-31.0014,-37.085,-26.9667,-33.3891,-20.8899,-20.090999999999998,-22.0699,-17.9945,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428,-25.49801428571428
USA,-819.62,-828.8635,-811.331,-791.9685,-820.1011,-785.8599,-799.9975,-783.8685,-768.2105,-760.8606,-752.763,-721.9022,-705.5078,-713.7157,-698.7092,-731.1334,-741.1406,-698.4422,-684.5837,-691.3197,-716.932,-748.9485,-753.4823,-735.763,-740.3763,-695.1915,-716.7809,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142,-729.6392142857142
